,mAbA7batch1-1a_1_C2,mAbA7batch1-1a_2_C2,mAbA9batch3-1_1_C2,mAbA9batch3-1_2_C2,mAbC1batch2-1_2_C2,mAbC1batch2-1_1_C2,mAbC3batch1-2_1_C2,mAbC3batch1-2_2_C2
corona2_12942,3.701896073393264,3.762406633789728,3.1795894255464483,1.7402385630855406,5.228188780069106,1.905728469489905,1.1621743581584592,2.5802594074166816
corona2_1244,3.663935039704929,3.44089628972874,1.4476099276163945,2.4372416719725885,2.894817641174908,2.8304522574673725,2.009728626194174,1.7581512041054606
corona2_13089,3.652102194185429,4.458589882305128,1.2956559891147388,0.6730291386664079,2.2818295170036387,1.0857279397354729,1.0225482943283235,1.390459251338673
corona2_9671,3.5263748080852637,1.6678666569314282,0.4221795383843833,1.483909623114886,0.8446750568841229,1.1576749816905672,0.4132607319815968,0.9384713939042773
corona2_5880,3.4601109365595315,2.505643986012672,0.271366602363086,0.4885829796067057,0.8283898947837122,0.7551367254023605,0.6613122591725973,0.2441972854194541
corona2_1765,3.412191728156997,5.10321508237363,3.2626772476489294,2.7688785245545686,3.6359033103959457,2.375767147939873,1.8920418235652556,2.3749795651064654
corona2_7626,3.3709531403164332,2.7697768320800797,2.0966413363103804,1.4577641957875178,1.9024267597295368,2.215405402156867,1.9081792973892249,1.7348869097957984
corona2_6449,3.3694684067292395,2.7451830197645024,1.9763350062573983,1.3832562971416649,2.7958628770381444,0.951364443368774,2.645658325441516,2.3483951274855537
corona2_9828,3.3592835187444736,4.378021137581358,1.6837569938247858,2.3690229536739764,3.240796659255233,2.266244914164472,2.2387687566281658,4.723030637188852
corona2_149,3.3541815955764487,1.1664468605561793,1.7540766105370835,0.918683389849416,1.2678860432888357,1.7879550130867068,1.7033811228041145,1.390459251338673
corona2_5878,3.3483775353308047,2.3036202861164683,0.9271044855391144,1.4534356095293983,1.202527567543467,1.3852858661150074,0.963495526662621,0.5502802451441521
corona2_3508,3.343685298563959,2.8106006261617367,0.6501945988609629,0.6848124559881159,0.7299757895362384,1.0221165631038298,0.5986240496729519,0.5709843044555645
corona2_8317,3.3327182209863784,2.21644634266062,2.2581957552817498,2.8282755275306988,1.8475449319348072,2.1052507544821117,1.4531901775302358,1.4762850340553388
corona2_1847,3.3323482521709966,2.2286615370231297,1.9127525437719173,0.7025012104535028,1.82973797849187,1.806220953774146,1.1735908775211028,0.5049556207297375
corona2_8996,3.279385371266143,3.472411496948616,2.000557532270589,0.8475592949740153,1.2468731911699305,1.0762940831763552,1.84561392333645,2.2652764838787904
corona2_2053,3.2459973076663,2.7655008217112984,1.1179322698392309,2.334624385487922,1.870806986189949,1.0946448729166325,1.8542163961368705,1.7229310321112392
corona2_1619,3.165692770823945,2.5112184017026715,1.0898051444566412,1.0139603280043368,1.614811668479327,1.36919325106439,1.8148351702510432,0.9562162112353134
corona2_5980,3.1577122888911053,0.8658521214460816,2.4433365859207887,2.401504147651075,0.9625429472896164,2.009906922644424,1.7674723017546332,0.9694942414616566
corona2_10773,3.1393074245553962,1.8098289496331998,0.4147523911147834,0.4472712740160387,0.3802950298116041,0.3721842124782115,0.5890282640075939,0.17512394819590527
corona2_4374,3.1240468393646883,1.4197869832952488,1.945599867123432,1.1800525518386802,2.2852404427862507,3.1361364951592123,2.2099283444129707,1.6952410688664754
corona2_1715,3.1240468393646883,2.924016169153858,1.8128769491444408,2.206291711272524,2.6363952562985484,2.0797938000841847,2.145954188252859,3.0829039225577937
corona2_11406,3.076913750062158,1.1041998541366098,1.7121608890636677,3.2459796646713297,1.7811183158897337,1.3268381779027372,1.0128956680034125,1.1060213747526564
corona2_3360,3.0613301283336685,3.0448722692290087,2.513025889617118,2.3018867806050927,2.63543822780952,2.87398099227916,2.7279874589524327,2.6807655651074724
